iter	Passed	Remaining
0	66	66453
1	75	37434
2	81	27076
3	88	22160
4	96	19233
5	103	17159
6	110	15718
7	118	14696
8	125	13785
9	132	13160
10	140	12664
11	148	12255
12	156	11888
13	164	11581
14	172	11312
15	179	11038
16	187	10822
17	194	10585
18	201	10390
19	209	10245
20	216	10087
21	223	9930
22	230	9808
23	238	9699
24	246	9597
25	253	9491
26	260	9405
27	269	9343
28	278	9321
29	288	9317
30	297	9312
31	306	9281
32	315	9233
33	322	9153
34	330	9105
35	338	9063
36	349	9085
37	360	9123
38	369	9116
39	380	9136
40	391	9147
41	403	9197
42	416	9260
43	427	9286
44	437	9290
45	448	9305
46	460	9341
47	471	9358
48	483	9379
49	494	9395
50	504	9391
51	515	9405
52	525	9396
53	535	9383
54	546	9396
55	559	9437
56	571	9452
57	581	9452
58	593	9471
59	604	9476
60	617	9509
61	628	9512
62	637	9488
63	648	9482
64	659	9484
65	669	9481
66	680	9482
67	691	9471
68	705	9524
69	747	9934
70	782	10241
71	835	10765
72	855	10860
73	882	11038
74	910	11225
75	944	11484
76	974	11686
77	1014	11992
78	1040	12134
79	1083	12459
80	1110	12595
81	1135	12716
82	1162	12847
83	1205	13143
84	1233	13282
85	1308	13911
86	1354	14216
87	1383	14338
88	1421	14549
89	1451	14678
90	1471	14699
91	1497	14784
92	1521	14834
93	1541	14853
94	1594	15188
95	1629	15345
96	1692	15757
97	1735	15976
98	1764	16056
99	1812	16310
100	1882	16758
101	1960	17255
102	1988	17318
103	2021	17414
104	2044	17430
105	2082	17567
106	2107	17587
107	2133	17619
108	2146	17543
109	2158	17466
110	2172	17397
111	2186	17332
112	2199	17261
113	2209	17173
114	2221	17092
115	2230	17000
116	2240	16910
117	2251	16827
118	2262	16746
119	2273	16670
120	2284	16594
121	2294	16512
122	2306	16448
123	2317	16368
124	2327	16289
125	2336	16209
126	2346	16130
127	2356	16053
128	2366	15979
129	2376	15906
130	2385	15823
131	2394	15747
132	2404	15677
133	2414	15604
134	2425	15540
135	2435	15471
136	2447	15420
137	2466	15405
138	2494	15454
139	2569	15785
140	2632	16035
141	2687	16237
142	2727	16345
143	2762	16418
144	2789	16448
145	2820	16499
146	2849	16532
147	2878	16569
148	2904	16587
149	2938	16648
150	2964	16667
151	3000	16739
152	3038	16822
153	3061	16819
154	3101	16907
155	3125	16911
156	3159	16967
157	3192	17013
158	3249	17187
159	3282	17234
160	3313	17266
161	3348	17321
162	3368	17299
163	3399	17330
164	3449	17459
165	3476	17466
166	3509	17507
167	3542	17545
168	3576	17586
169	3605	17605
170	3629	17597
171	3668	17657
172	3691	17644
173	3720	17659
174	3746	17662
175	3781	17703
176	3812	17727
177	3835	17711
178	3861	17713
179	3887	17708
180	3912	17701
181	3940	17711
182	3975	17748
183	3996	17723
184	4024	17731
185	4062	17779
186	4133	17971
187	4165	17989
188	4193	17993
189	4212	17956
190	4238	17954
191	4263	17941
192	4287	17926
193	4323	17962
194	4352	17969
195	4382	17979
196	4419	18013
197	4446	18008
198	4469	17991
199	4499	17998
200	4517	17958
201	4548	17967
202	4573	17957
203	4598	17943
204	4616	17904
205	4636	17870
206	4661	17857
207	4683	17833
208	4714	17841
209	4743	17843
210	4762	17806
211	4774	17746
212	4787	17687
213	4802	17638
214	4815	17581
215	4827	17520
216	4838	17458
217	4848	17392
218	4858	17325
219	4868	17262
220	4880	17201
221	4908	17202
222	4944	17228
223	4962	17193
224	4975	17137
225	4986	17076
226	4999	17023
227	5011	16967
228	5021	16906
229	5031	16845
230	5042	16786
231	5053	16729
232	5065	16673
233	5077	16622
234	5110	16637
235	5245	16982
236	5320	17128
237	5367	17183
238	5411	17230
239	5538	17538
240	5578	17570
241	5613	17582
242	5650	17603
243	5711	17694
244	5810	17905
245	5840	17900
246	5883	17937
247	5912	17929
248	5936	17905
249	5954	17863
250	5969	17814
251	5983	17759
252	5996	17704
253	6011	17655
254	6025	17602
255	6037	17545
256	6050	17491
257	6065	17445
258	6079	17392
259	6093	17343
260	6104	17285
261	6115	17225
262	6158	17257
263	6168	17197
264	6181	17144
265	6191	17084
266	6234	17115
267	6285	17168
268	6352	17262
269	6428	17381
270	6501	17488
271	6544	17516
272	6576	17513
273	6599	17486
274	6639	17503
275	6680	17524
276	6734	17577
277	6797	17655
278	6833	17658
279	6862	17645
280	6878	17599
281	6888	17538
282	6898	17477
283	6909	17420
284	6920	17361
285	6932	17306
286	6943	17249
287	6955	17195
288	6966	17138
289	6977	17081
290	6985	17020
291	6997	16967
292	7007	16909
293	7017	16851
294	7027	16795
295	7037	16737
296	7047	16680
297	7057	16625
298	7067	16569
299	7077	16513
300	7086	16457
301	7097	16403
302	7106	16346
303	7115	16290
304	7123	16232
305	7133	16178
306	7156	16154
307	7175	16121
308	7200	16101
309	7250	16137
310	7287	16144
311	7318	16137
312	7330	16089
313	7341	16039
314	7356	15997
315	7370	15952
316	7383	15907
317	7394	15859
318	7406	15810
319	7416	15760
320	7427	15711
321	7437	15659
322	7450	15615
323	7460	15565
324	7471	15516
325	7483	15471
326	7493	15423
327	7504	15374
328	7513	15323
329	7523	15274
330	7533	15226
331	7543	15178
332	7553	15129
333	7563	15082
334	7572	15032
335	7582	14985
336	7593	14939
337	7605	14895
338	7616	14850
339	7628	14807
340	7639	14763
341	7658	14734
342	7688	14726
343	7797	14870
344	7828	14863
345	7856	14849
346	7891	14850
347	7931	14860
348	7960	14849
349	8027	14908
350	8077	14934
351	8122	14952
352	8162	14961
353	8210	14983
354	8241	14973
355	8277	14973
356	8306	14961
357	8335	14947
358	8356	14919
359	8391	14918
360	8418	14900
361	8440	14875
362	8481	14883
363	8506	14863
364	8518	14819
365	8530	14776
366	8541	14732
367	8552	14687
368	8566	14648
369	8579	14608
370	8593	14568
371	8607	14530
372	8617	14485
373	8628	14442
374	8639	14399
375	8650	14356
376	8662	14314
377	8674	14273
378	8685	14230
379	8695	14187
380	8705	14143
381	8715	14099
382	8725	14056
383	8734	14011
384	8745	13969
385	8755	13926
386	8765	13883
387	8775	13841
388	8784	13797
389	8793	13754
390	8802	13710
391	8813	13669
392	8823	13628
393	8834	13587
394	8844	13546
395	8855	13506
396	8865	13465
397	8875	13424
398	8889	13389
399	8910	13366
400	8933	13343
401	8962	13332
402	9008	13345
403	9078	13393
404	9116	13393
405	9140	13372
406	9160	13347
407	9183	13324
408	9195	13287
409	9210	13253
410	9228	13224
411	9241	13188
412	9252	13151
413	9263	13111
414	9274	13073
415	9285	13035
416	9296	12997
417	9306	12957
418	9317	12919
419	9329	12883
420	9338	12843
421	9349	12805
422	9359	12767
423	9369	12729
424	9380	12690
425	9390	12653
426	9400	12615
427	9410	12577
428	9422	12541
429	9433	12505
430	9443	12467
431	9456	12434
432	9469	12399
433	9481	12364
434	9499	12339
435	9531	12329
436	9577	12338
437	9609	12329
438	9645	12326
439	9686	12328
440	9718	12319
441	9755	12316
442	9786	12304
443	9819	12296
444	9853	12288
445	9897	12294
446	9931	12286
447	9956	12267
448	9982	12250
449	10029	12258
450	10052	12236
451	10110	12257
452	10138	12242
453	10174	12236
454	10211	12230
455	10246	12224
456	10283	12219
457	10318	12211
458	10353	12202
459	10375	12179
460	10420	12183
461	10452	12172
462	10484	12159
463	10513	12144
464	10537	12124
465	10561	12102
466	10599	12098
467	10629	12082
468	10663	12072
469	10697	12062
