iter	Logloss
0	0.5898043725
1	0.5085672999
2	0.4566808801
3	0.4153383612
4	0.3794343798
5	0.3547481462
6	0.336867832
7	0.3204450551
8	0.3131991182
9	0.3032607031
10	0.2948448675
11	0.2874242996
12	0.2817321785
13	0.2762672243
14	0.2718096411
15	0.2685176904
16	0.2663199497
17	0.2632590326
18	0.2619128656
19	0.2605685637
20	0.2589509739
21	0.2573476208
22	0.2560796333
23	0.2547523004
24	0.2535934634
25	0.2525814643
26	0.2519935947
27	0.2512434479
28	0.2503614018
29	0.2499128144
30	0.2488494941
31	0.2481960053
32	0.2474397032
33	0.2470460264
34	0.2465125708
35	0.2461413192
36	0.2457789844
37	0.2450336729
38	0.2449327868
39	0.244527482
40	0.2438324928
41	0.2431277621
42	0.2426356395
43	0.2422360334
44	0.2417625839
45	0.241418383
46	0.2408245959
47	0.2404531793
48	0.2401110196
49	0.2398712463
50	0.2396081638
51	0.2393625235
52	0.2389911459
53	0.2386946011
54	0.2384403634
55	0.2381992778
56	0.2380113211
57	0.2375715706
58	0.2371785086
59	0.2369650256
60	0.2366949348
61	0.2364659227
62	0.2362109234
63	0.2360149085
64	0.2358393519
65	0.2356123433
66	0.2352418737
67	0.2351376164
68	0.2350018906
69	0.2346223871
70	0.2344832665
71	0.2342901611
72	0.2342901232
73	0.2340570307
74	0.2337126745
75	0.2335342766
76	0.2332500775
77	0.2331423463
78	0.2329059807
79	0.2326467379
80	0.2325370416
81	0.2324739674
82	0.2322795732
83	0.2319586253
84	0.2318327325
85	0.2315835828
86	0.2312791115
87	0.2309555573
88	0.2307148695
89	0.2305180956
90	0.2305128143
91	0.2302117041
92	0.2299429232
93	0.2297093452
94	0.2292436645
95	0.2290465726
96	0.2287618193
97	0.2286998953
98	0.2284069326
99	0.2282747798
100	0.2280071921
101	0.2277490258
102	0.2273514404
103	0.2269502595
104	0.2266601606
105	0.2262726102
106	0.2260310566
107	0.2257571321
108	0.2253835263
109	0.2250928596
110	0.2248879174
111	0.2247353802
112	0.2244604336
113	0.2243539693
114	0.2240709175
115	0.2237350281
116	0.2235174977
117	0.2231831816
118	0.2229835825
119	0.222684016
120	0.2224892269
121	0.2223538877
122	0.2219129129
123	0.2215405558
124	0.2213447409
125	0.2210645626
126	0.2207728774
127	0.220579341
128	0.2204829033
129	0.2200581509
130	0.2198513259
131	0.2196155774
132	0.2193471476
133	0.2191179109
134	0.2188523232
135	0.2186032432
136	0.2184579481
137	0.2181232935
138	0.2178478931
139	0.2175618274
140	0.2172996952
141	0.2171314337
142	0.2168133963
143	0.2165907354
144	0.2165055083
145	0.2164530258
146	0.216268235
147	0.2160202937
148	0.2157603673
149	0.2154987837
150	0.215155465
151	0.2149312961
152	0.2146574759
153	0.2145120445
154	0.2144717874
155	0.2142959934
156	0.2139240635
157	0.2138301135
158	0.213567202
159	0.2132975965
160	0.2130097055
161	0.2126588788
162	0.2126063937
163	0.2122532763
164	0.2120064307
165	0.2116681222
166	0.2113546314
167	0.2111263351
168	0.2108666608
169	0.2108458835
170	0.2105541849
171	0.2104381193
172	0.2102430198
173	0.2099128348
174	0.2097069784
175	0.2094560393
176	0.2091953157
177	0.2088690324
178	0.2086933872
179	0.2083827924
180	0.2082602962
181	0.208145541
182	0.2078415945
183	0.2076675662
184	0.207454734
185	0.2072579462
186	0.207078553
187	0.2068629668
188	0.2067279987
189	0.2062819646
190	0.2061749723
191	0.2061217153
192	0.2058938044
193	0.205785174
194	0.2056082845
195	0.2054873422
196	0.2052612534
197	0.2050045032
198	0.2049363814
199	0.2047560922
200	0.2046812681
201	0.2045028118
202	0.2044043627
203	0.2042438876
204	0.2041777491
205	0.2039459136
206	0.2037620645
207	0.2034765864
208	0.203322853
209	0.2031977695
210	0.2031344088
211	0.2028864981
212	0.2027543661
213	0.2025754588
214	0.2023674635
215	0.2021521983
216	0.2018858338
217	0.2018012032
218	0.2016335824
219	0.2014624896
220	0.2014339995
221	0.2014163545
222	0.2012139933
223	0.2010028138
224	0.200692848
225	0.200367033
226	0.2002353239
227	0.1998497139
228	0.1996119006
229	0.1993387642
230	0.1991773981
231	0.198977772
232	0.1987412144
233	0.1985108008
234	0.1983373634
235	0.1980476985
236	0.1979175527
237	0.1977796899
238	0.1975275627
239	0.1972228261
240	0.1970575512
241	0.1969653302
242	0.1968046162
243	0.1964854234
244	0.1961147271
245	0.195950788
